**TUOTELISTAUS START**
id: 1280, tuote: Kuivantilan lattia, tarkenne_yleinen: Kovapuu, tarkenne_sievitalo:  
id: 1281, tuote: Kuivantilan lattia, tarkenne_yleinen: Laatta, tarkenne_sievitalo:  
id: 1283, tuote: Kura-allas, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1284, tuote: Kura-altaan vesipiste, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1300, tuote: Sisäkatto kuivat tilat, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1301, tuote: Sisäkatto kuivat tilat, tarkenne_yleinen: mdf-paneeli, tarkenne_sievitalo:  
id: 1302, tuote: Sisäkatto kuivat tilat, tarkenne_yleinen: Maalattu, tarkenne_sievitalo:  
id: 1303, tuote: Listattomat ikkunat, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1304, tuote: Saunan lauteet, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1305, tuote: Saunan yleisvalaisin, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1306, tuote: Laudevalaisin, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1307, tuote: Saunan puolilasiseinä, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1308, tuote: Saunan kokolasiseinä, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1309, tuote: Saunan seinät ja katto, tarkenne_yleinen: Havupuupaneeli, tarkenne_sievitalo:  
id: 1310, tuote: Saunan seinät ja katto, tarkenne_yleinen: Tervaleppä tai lämpöhaapa, tarkenne_sievitalo:  
id: 1311, tuote: Pesuhuoneen katto, tarkenne_yleinen: Havupuupaneeli, tarkenne_sievitalo:  
id: 1312, tuote: Pesuhuoneen katto, tarkenne_yleinen: Tervaleppä tai lämpöhaapa, tarkenne_sievitalo:  
id: 1313, tuote: Shampoosyvennys, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1314, tuote: Maalämpö, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1315, tuote: VILP eli vesi-ilmalämpöpumppu, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1316, tuote: PILP eli poistoilmalämpöpumppu, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1317, tuote: Maaviileä, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1318, tuote: Ilmalämpöpumppu, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1319, tuote: Lattialämmityksen termostaatit, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1320, tuote: Anteenirasia, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1321, tuote: Tietoliikennerasia, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1322, tuote: Pistorasia, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1323, tuote: Valokytkin, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1324, tuote: Valohimmennin, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1325, tuote: Valopiste, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1326, tuote: Led-valo, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1327, tuote: Ulkovalo, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1328, tuote: Ulkopistorasia, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1329, tuote: Maadoituskupari 50m, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1330, tuote: Keittiön hana, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1331, tuote: Kodinhoitohuoneen vesihana, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1332, tuote: Pesualtaan vesihana, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1333, tuote: Suihku, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1334, tuote: Wc-istuin, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1335, tuote: Seinä-WC, tarkenne_yleinen: Kotelo maalattuna, tarkenne_sievitalo:  
id: 1337, tuote: Vesipostiventtiili, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1338, tuote: Autotallin vesipiste, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1339, tuote: Öljynerotuskaivo, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1340, tuote: Lämpimän veden kierto, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1341, tuote: Keskuspölynimuri, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1342, tuote: Linjalattiakaivo, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1343, tuote: Liesituuletin, tarkenne_yleinen: ulospurkava kaappikiinnitteinen, tarkenne_sievitalo:  
id: 1344, tuote: Liesituuletin, tarkenne_yleinen: ulospurkava saareke, tarkenne_sievitalo:  
id: 1345, tuote: Liesituuletin + liesi, tarkenne_yleinen: Pora pure, tarkenne_sievitalo:  
id: 1346, tuote: Induktioliesi, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1347, tuote: Jääkaappi, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1348, tuote: Pakastin, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1349, tuote: Astianpesukone, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1350, tuote: Uuni, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1351, tuote: Tonttikeskus, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1352, tuote: Takka, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1353, tuote: Voimavirta pistorasiat, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1354, tuote: Kiuas, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1355, tuote: Portaat, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1356, tuote: Portaat, tarkenne_yleinen: kaiden puu, tarkenne_sievitalo:  
id: 1357, tuote: Portaat, tarkenne_yleinen: kaiden metalli, tarkenne_sievitalo:  
id: 1358, tuote: Portaat, tarkenne_yleinen: kaide lasi, tarkenne_sievitalo:  
id: 1359, tuote: Kerroskaide, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1360, tuote: Kerroskaide, tarkenne_yleinen: puu, tarkenne_sievitalo:  
id: 1361, tuote: Kerroskaide, tarkenne_yleinen: metalli, tarkenne_sievitalo:  
id: 1362, tuote: Kerroskaide, tarkenne_yleinen: lasi, tarkenne_sievitalo:  

**TUOTELISTAUS END**
